Read when charge was around 93%


Register 247 raw value: 0 | 0x0
Register 248 raw value: 0 | 0x0
Register 249 raw value: 0 | 0x0
Register 250 raw value: 0 | 0x0
Register 251 raw value: 0 | 0x0
Register 252 raw value: 0 | 0x0
Register 253 raw value: 0 | 0x0
Register 254 raw value: 0 | 0x0
Register 255 raw value: 0 | 0x0
Register 256 raw value: 0 | 0x0
Register 257 raw value: 0 | 0x0
Register 258 raw value: 0 | 0x0
Register 259 raw value: 0 | 0x0
Register 260 raw value: 0 | 0x0
Register 261 raw value: 0 | 0x0
Register 262 raw value: 0 | 0x0
Register 263 raw value: 0 | 0x0
Register 264 raw value: 0 | 0x0
Register 265 raw value: 0 | 0x0
Register 266 raw value: 0 | 0x0
Register 267 raw value: 0 | 0x0
Register 268 raw value: 0 | 0x0
Register 269 raw value: 0 | 0x0
Register 270 raw value: 0 | 0x0
Register 271 raw value: 0 | 0x0
Register 272 raw value: 0 | 0x0
Register 273 raw value: 0 | 0x0
Register 274 raw value: 0 | 0x0
Register 275 raw value: 0 | 0x0
Register 276 raw value: 0 | 0x0
Register 277 raw value: 0 | 0x0
Register 278 raw value: 0 | 0x0
Register 279 raw value: 0 | 0x0
Register 280 raw value: 0 | 0x0
Register 281 raw value: 0 | 0x0
Register 282 raw value: 0 | 0x0
Register 283 raw value: 0 | 0x0
Register 284 raw value: 0 | 0x0
Register 285 raw value: 0 | 0x0
Register 286 raw value: 0 | 0x0
Register 287 raw value: 0 | 0x0
Register 288 raw value: 0 | 0x0
Register 289 raw value: 0 | 0x0
Register 290 raw value: 0 | 0x0
Register 291 raw value: 0 | 0x0
Register 292 raw value: 0 | 0x0
Register 293 raw value: 0 | 0x0
Register 294 raw value: 0 | 0x0
Register 295 raw value: 0 | 0x0
Register 296 raw value: 0 | 0x0
Register 297 raw value: 769 | 0x301
Register 298 raw value: 9216 | 0x2400
Register 299 raw value: 0 | 0x0
Register 300 raw value: 0 | 0x0
Register 301 raw value: 0 | 0x0
Register 302 raw value: 0 | 0x0
Register 303 raw value: 0 | 0x0
Register 304 raw value: 0 | 0x0
Register 305 raw value: 0 | 0x0
Register 306 raw value: 0 | 0x0
Register 307 raw value: 0 | 0x0
Register 308 raw value: 0 | 0x0
Register 309 raw value: 0 | 0x0
Register 310 raw value: 0 | 0x0
Register 311 raw value: 0 | 0x0
Register 312 raw value: 0 | 0x0
Register 313 raw value: 0 | 0x0
Register 314 raw value: 0 | 0x0
Register 315 raw value: 0 | 0x0
Register 316 raw value: 0 | 0x0
Register 317 raw value: 0 | 0x0
Register 318 raw value: 0 | 0x0
Register 319 raw value: 0 | 0x0
Register 320 raw value: 0 | 0x0
Register 321 raw value: 0 | 0x0
Register 322 raw value: 0 | 0x0
Register 323 raw value: 0 | 0x0
Register 324 raw value: 0 | 0x0
Register 325 raw value: 72 | 0x48
Register 326 raw value: 244 | 0xf4
Register 327 raw value: 3 | 0x3
Register 328 raw value: 252 | 0xfc
Register 329 raw value: 137 | 0x89
Register 330 raw value: 233 | 0xe9
Register 331 raw value: 22 | 0x16
Register 332 raw value: 500 | 0x1f4
Register 333 raw value: 344 | 0x158
Register 334 raw value: 508 | 0x1fc
Register 335 raw value: 136 | 0x88
Register 336 raw value: 276 | 0x114
Register 337 raw value: 182 | 0xb6
Register 338 raw value: 39 | 0x27
Register 339 raw value: 4 | 0x4
Register 340 raw value: 0 | 0x0
Register 341 raw value: 256 | 0x100
Register 342 raw value: 40 | 0x28
Register 343 raw value: 7168 | 0x1c00
Register 344 raw value: 0 | 0x0
Register 345 raw value: 0 | 0x0
Register 346 raw value: 0 | 0x0
Register 347 raw value: 0 | 0x0
Register 348 raw value: 0 | 0x0
